date,event,category,venue,funding_source,attendance,cost_chf,income_chf
2026-05-04,Artist Talk: Listening,Talk,Radio Studio,Stadt Bern,42,619.3,570.13
2026-05-09,Residency Showcase,Residency,Grosse Halle,Kanton Bern,72,1074.41,1163.78
2026-05-11,Artist Talk: Listening,Talk,Off-site,Membership,52,1038.84,924.2
2026-05-11,Youth Sound Lab,Education,Studio 2,Stadt Bern,15,624.37,666.58
2026-05-14,Open Studio,Community,Studio 2,Pro Helvetia,39,462.97,346.9
2026-05-18,Residency Showcase,Residency,Studio 2,Stadt Bern,61,1012.09,1048.09
2026-05-19,Artist Talk: Listening,Talk,Radio Studio,Pro Helvetia,25,492.67,322.22
2026-05-20,Youth Sound Lab,Education,Radio Studio,Membership,25,492.85,412.24
2026-05-21,Artist Talk: Listening,Talk,Off-site,Membership,23,1033.18,929.92
2026-05-23,Youth Sound Lab,Education,Grosse Halle,Kanton Bern,12,515.42,452.14
2026-05-24,Open Studio,Community,Radio Studio,Pro Helvetia,53,796.52,659.01
2026-05-27,Field Recording Workshop,Workshop,Grosse Halle,Membership,28,953.65,846.63
2026-05-30,Field Recording Workshop,Workshop,Studio 2,Stadt Bern,41,821.6,674.55
2026-05-31,Klangraum Series,Concert,Radio Studio,Ticket sales,116,1549.74,612.37
2026-06-02,Artist Talk: Listening,Talk,Studio 2,Membership,56,881.57,869.02
2026-06-06,Klangraum Series,Concert,Off-site,Membership,113,1469.83,861.2
2026-06-07,Field Recording Workshop,Workshop,Studio 2,Pro Helvetia,16,825.48,834.44
2026-06-10,Open Studio,Community,Studio 2,Pro Helvetia,11,692.02,711.41
2026-06-11,Residency Showcase,Residency,Studio 2,Membership,61,1405.74,789.01
2026-06-11,Youth Sound Lab,Education,Studio 2,Ticket sales,26,1040.2,761.35
2026-06-12,Field Recording Workshop,Workshop,Grosse Halle,Stadt Bern,16,390.08,231.65
2026-06-14,Open Studio,Community,Radio Studio,Ticket sales,44,670.84,684.49
2026-06-19,Artist Talk: Listening,Talk,Grosse Halle,Membership,34,971.71,412.7
2026-06-20,Field Recording Workshop,Workshop,Radio Studio,Pro Helvetia,5,810.81,684.12
2026-06-20,Youth Sound Lab,Education,Off-site,Membership,27,459.42,406.72
2026-06-21,Residency Showcase,Residency,Grosse Halle,Stadt Bern,65,1155.42,726.91
2026-06-22,Open Studio,Community,Radio Studio,Kanton Bern,43,1076.01,588.45
2026-06-29,Field Recording Workshop,Workshop,Radio Studio,Stadt Bern,11,516.31,349.53
2026-06-30,Klangraum Series,Concert,Radio Studio,Kanton Bern,131,1673.73,1187.73
2026-07-01,Youth Sound Lab,Education,Grosse Halle,Ticket sales,16,454.31,519.19
2026-07-02,Open Studio,Community,Studio 2,Kanton Bern,31,940.14,742.81
2026-07-04,Youth Sound Lab,Education,Studio 2,Ticket sales,23,1024.18,808.32
2026-07-06,Artist Talk: Listening,Talk,Grosse Halle,Ticket sales,49,657.54,268.05
2026-07-08,Residency Showcase,Residency,Radio Studio,Stadt Bern,49,563.64,210.44
2026-07-09,Klangraum Series,Concert,Off-site,Pro Helvetia,108,1807.84,2021.44
2026-07-14,Youth Sound Lab,Education,Studio 2,Ticket sales,29,509.59,373.25
2026-07-15,Field Recording Workshop,Workshop,Radio Studio,Stadt Bern,29,442.94,474.84
2026-07-16,Field Recording Workshop,Workshop,Studio 2,Stadt Bern,4,333.36,342.63
2026-07-20,Youth Sound Lab,Education,Radio Studio,Membership,9,574.1,687.66
2026-07-22,Residency Showcase,Residency,Studio 2,Pro Helvetia,63,544.11,296.88
2026-07-25,Youth Sound Lab,Education,Off-site,Membership,30,587.09,667.72
2026-07-26,Artist Talk: Listening,Talk,Radio Studio,Stadt Bern,72,1161.4,1093.8
2026-07-29,Klangraum Series,Concert,Radio Studio,Membership,119,1514.16,1581.56
2026-07-30,Residency Showcase,Residency,Studio 2,Kanton Bern,84,1297.49,550.37
2026-07-30,Youth Sound Lab,Education,Radio Studio,Stadt Bern,36,888.9,942.58
2026-07-31,Field Recording Workshop,Workshop,Radio Studio,Membership,16,767.68,638.03
2026-08-06,Field Recording Workshop,Workshop,Grosse Halle,Membership,6,564.95,407.8
2026-08-06,Residency Showcase,Residency,Grosse Halle,Ticket sales,57,1167.5,421.6
2026-08-07,Youth Sound Lab,Education,Studio 2,Membership,20,987.3,480.73
2026-08-12,Artist Talk: Listening,Talk,Off-site,Stadt Bern,55,965.58,650.55
2026-08-15,Residency Showcase,Residency,Off-site,Ticket sales,56,1056.4,457.47
2026-08-17,Klangraum Series,Concert,Off-site,Membership,125,2023.88,1922.73
2026-08-25,Klangraum Series,Concert,Grosse Halle,Ticket sales,128,1007.82,890.37
2026-08-30,Field Recording Workshop,Workshop,Off-site,Ticket sales,23,428.66,277.89
2026-09-02,Youth Sound Lab,Education,Grosse Halle,Pro Helvetia,19,843.19,546.31
2026-09-03,Field Recording Workshop,Workshop,Grosse Halle,Membership,10,468.73,465.02
2026-09-05,Residency Showcase,Residency,Studio 2,Membership,57,893.55,886.47
2026-09-07,Open Studio,Community,Grosse Halle,Kanton Bern,53,1156.38,1212.99
2026-09-11,Artist Talk: Listening,Talk,Radio Studio,Kanton Bern,46,604.37,706.14
2026-09-12,Youth Sound Lab,Education,Grosse Halle,Ticket sales,25,449.26,230.05
2026-09-13,Klangraum Series,Concert,Radio Studio,Pro Helvetia,119,1487.11,1140.21
2026-09-16,Residency Showcase,Residency,Grosse Halle,Pro Helvetia,75,777.67,751.67
2026-09-17,Field Recording Workshop,Workshop,Grosse Halle,Membership,24,671.06,479.92
2026-09-17,Youth Sound Lab,Education,Studio 2,Ticket sales,32,498.25,604.58
2026-09-22,Klangraum Series,Concert,Off-site,Membership,113,1290.63,1139.25
2026-09-25,Youth Sound Lab,Education,Studio 2,Membership,9,725.71,454.05
2026-09-27,Klangraum Series,Concert,Off-site,Pro Helvetia,105,1686.44,1327.58
2026-09-28,Artist Talk: Listening,Talk,Grosse Halle,Pro Helvetia,37,473.82,475.25
2026-09-29,Residency Showcase,Residency,Radio Studio,Membership,72,903.09,1028.94
2026-09-30,Field Recording Workshop,Workshop,Off-site,Stadt Bern,39,1086.38,933.6
2026-10-05,Youth Sound Lab,Education,Off-site,Stadt Bern,25,481.91,297.1
2026-10-07,Residency Showcase,Residency,Off-site,Membership,59,1317.48,1415.94
2026-10-08,Klangraum Series,Concert,Off-site,Membership,123,1015.47,718.47
2026-10-08,Artist Talk: Listening,Talk,Studio 2,Ticket sales,40,674.91,769.98
2026-10-13,Open Studio,Community,Radio Studio,Ticket sales,47,819.9,298.8
2026-10-13,Youth Sound Lab,Education,Grosse Halle,Stadt Bern,30,586.86,367.06
2026-10-16,Open Studio,Community,Grosse Halle,Ticket sales,30,517.37,608.14
2026-10-17,Klangraum Series,Concert,Studio 2,Pro Helvetia,119,1899.57,1854.66
2026-10-18,Field Recording Workshop,Workshop,Studio 2,Pro Helvetia,11,394.8,202.5
2026-10-21,Residency Showcase,Residency,Grosse Halle,Membership,63,1135.12,924.35
2026-10-22,Klangraum Series,Concert,Radio Studio,Ticket sales,111,1309.14,1404.58
2026-10-23,Residency Showcase,Residency,Studio 2,Stadt Bern,68,1038.98,945.18
2026-10-26,Open Studio,Community,Off-site,Stadt Bern,52,1198.52,613.53
2026-10-27,Youth Sound Lab,Education,Radio Studio,Membership,30,443.9,485.79
2026-11-02,Klangraum Series,Concert,Studio 2,Stadt Bern,114,1622.18,1455.54
2026-11-03,Open Studio,Community,Studio 2,Pro Helvetia,16,583.75,284.07
2026-11-04,Residency Showcase,Residency,Off-site,Pro Helvetia,55,900.89,343.96
2026-11-08,Klangraum Series,Concert,Grosse Halle,Kanton Bern,100,1221.32,1052.79
2026-11-11,Field Recording Workshop,Workshop,Grosse Halle,Pro Helvetia,17,790.2,579.08
2026-11-11,Artist Talk: Listening,Talk,Grosse Halle,Membership,34,811.09,409.15
2026-11-11,Youth Sound Lab,Education,Radio Studio,Ticket sales,11,608.06,468.3
2026-11-12,Field Recording Workshop,Workshop,Studio 2,Stadt Bern,17,555.3,390.72
2026-11-17,Klangraum Series,Concert,Studio 2,Kanton Bern,123,1646.38,1679.54
2026-11-19,Artist Talk: Listening,Talk,Studio 2,Ticket sales,43,1265.6,1422.49
2026-11-20,Residency Showcase,Residency,Studio 2,Ticket sales,44,1040.33,689.4
2026-11-20,Youth Sound Lab,Education,Off-site,Ticket sales,9,805.13,637.01
2026-11-21,Field Recording Workshop,Workshop,Studio 2,Stadt Bern,15,954.91,472.08
2026-11-25,Klangraum Series,Concert,Studio 2,Ticket sales,136,1108.7,848.6
2026-11-26,Residency Showcase,Residency,Off-site,Pro Helvetia,70,726.58,421.89
2026-11-27,Klangraum Series,Concert,Off-site,Ticket sales,121,1557.94,647.33
2026-11-28,Field Recording Workshop,Workshop,Off-site,Membership,33,971.0,1146.95
2026-11-28,Artist Talk: Listening,Talk,Radio Studio,Kanton Bern,39,424.3,440.9
2026-12-01,Open Studio,Community,Studio 2,Ticket sales,36,633.62,245.05
2026-12-03,Klangraum Series,Concert,Radio Studio,Pro Helvetia,123,1589.9,1594.56
2026-12-03,Residency Showcase,Residency,Radio Studio,Stadt Bern,69,1549.56,1824.09
2026-12-04,Field Recording Workshop,Workshop,Off-site,Ticket sales,29,1078.88,510.33
2026-12-05,Artist Talk: Listening,Talk,Grosse Halle,Stadt Bern,46,646.1,660.57
2026-12-08,Youth Sound Lab,Education,Radio Studio,Stadt Bern,36,986.61,1055.27
2026-12-11,Artist Talk: Listening,Talk,Grosse Halle,Pro Helvetia,37,688.15,802.91
2026-12-13,Field Recording Workshop,Workshop,Off-site,Pro Helvetia,32,643.6,353.63
2026-12-13,Residency Showcase,Residency,Radio Studio,Stadt Bern,61,1183.75,1375.85
2026-12-13,Youth Sound Lab,Education,Radio Studio,Pro Helvetia,20,608.55,252.58
2026-12-18,Open Studio,Community,Radio Studio,Pro Helvetia,46,859.92,324.99
2026-12-18,Youth Sound Lab,Education,Off-site,Stadt Bern,24,687.97,411.79
2026-12-25,Youth Sound Lab,Education,Off-site,Membership,19,497.27,305.48
2026-12-27,Klangraum Series,Concert,Grosse Halle,Kanton Bern,103,1524.06,1470.84
2026-12-27,Artist Talk: Listening,Talk,Studio 2,Kanton Bern,51,632.65,517.85
2026-12-27,Residency Showcase,Residency,Grosse Halle,Membership,59,820.35,895.1
2026-12-29,Open Studio,Community,Radio Studio,Kanton Bern,45,1109.63,1082.83
2027-01-03,Artist Talk: Listening,Talk,Studio 2,Stadt Bern,45,606.82,752.61
2027-01-05,Residency Showcase,Residency,Off-site,Stadt Bern,69,1220.08,605.54
2027-01-06,Open Studio,Community,Off-site,Pro Helvetia,24,880.39,875.42
